Part,Description,Link,Quantity,Unit Price,Total Price,Notes,Have/Need/Can Make
Seeed XIAO RP2040,Microcontroller to process signals from lever angle and communicate with PC.,https://core-electronics.com.au/seeed-xiao-rp2040-supports-arduino-micropython-and-circuitpython.html,1,9.05,9.05,,Need
"2.42"" I2C OLED",Screen to feedback information to user and useful for debugging/tuning.,https://core-electronics.com.au/large-oled-i2c-display-ssd1309.html,1,20.7,20.7,,Have
KY-035 Hall Effect Sensor,Hall effect sensor to detect magnetic field from magnet in lever to detect angle.,https://www.jaycar.com.au/duinotech-arduino-compatible-hall-effect-sensor/p/XC4434,1,5.75,5.75,,Need
Microswitch,Switch to detect when lever is at full travel.,N/A,1,N/A,N/A,,Have
10k Resistor,To stabilise signals as pullup or pulldown resistors.,https://www.jaycar.com.au/10k-ohm-0-5-watt-metal-film-resistors-pack-of-8/p/RR0596,1,0.85,0.85,10kΩ x8,Need
1m USB-A to USB-C Cable,For the microcontroller to communicate with the PC.,https://www.officeworks.com.au/shop/officeworks/p/keji-usb-a-to-usb-c-cable-1m-black-kejiac1mbk,1,4,4,,Need
Jumper Wires M-M,To connect components in assembly. Male connectors on both sides.,https://core-electronics.com.au/jumper-wire-20cm-ribbon-of-40pcs.html,1,3.95,3.95,200mm M-M x40,Need
Jumper Wires M-F,"To connect components in assembly. Male connectors on one side, female on one side.",https://core-electronics.com.au/male-female-jumper-wire-40-20cm.html,1,3.95,3.95,200mm M-F x40,Need
Jumper Wires F-F,To connect components in assembly. Female connectors on both sides.,https://core-electronics.com.au/solderless-breadboard-jumper-cable-wires-female-female-40-pieces.html,1,3.95,3.95,200mm F-F x40,Need
Main Case,3D printed black PLA case that encases most of the assembly.,N/A,1,N/A,N/A,,Can Make
Fastener Hole Inserts,3D printed black PLA hole inserts to hide the fasteners holes and fasteners.,N/A,14,N/A,N/A,,Can Make
M6x10 Button Head,Fastens the shaft and rotating assembly to the chassis.,N/A,2,N/A,N/A,M6x1.0 x 10mm Button Head,Need
M3x6 Button Head,Fastens grip to lever.,N/A,2,N/A,N/A,M3x0.5 x 6mm Button Head,Need
M3x6 Socket Head,Fastens case to chassis. Fastens grip to lever. Fastens spring plates to chassis.,N/A,20,N/A,N/A,M3x0.5 x 6mm Socket Head,Need
M1.6x10 Socket Head,Fastens microswitch to chassis.,N/A,2,N/A,N/A,M1.6x0.35 x 10mm Socket Head,Need
M2x8 Socket Head,Fastens KY-035 to chassis.,N/A,2,N/A,N/A,M2x0.4 x 8mm Socket Head,Need
M8x6 Socket Head,Provides seating for spring on spring plates.,N/A,2,N/A,N/A,M8x1.25 x 6mm Socket Head,Need
M2 Hex Nut,Fastens M2 bolts.,N/A,2,N/A,N/A,M2 Hex Nut,Need
M1.6 Hex Nut,Fastens M1.6 bolts.,N/A,2,N/A,N/A,M1.6 Hex Nut,Need
Magnet,Produces field that the hall effect sensor can detect.,https://core-electronics.com.au/2912-series-neodymium-magnet-5mm-diameter-15mm-thickness-2-pack.html,1,4.9,4.9,2x 1.5mm x 5mm,Need
,,,,,101.72,,
,,,,,81.02,,
,,,,JLC Shipping,36.17,,
,,,,Core Electronics Shipping,6.8,,
,,,,Jaycar Shipping,9.95,,
,,,,,133.94,,
,,,,Total,AUD$134,,
,,,,Total,~USD$94,,
